0,1,2,3,4,5,6,7,maxval
823.069,562.678,629.257,418.324,96.4337,188.087,10.602,10.7886,823.069
1066.948529,562.294,1268.774702,434.443,88.4201,189.017,9.88774,10.7899,1268.774702
1383.644235,568.599,1341.006874,438.889,84.7943,189.404,9.56763,10.7897,1383.644235
40.183,126.759,26.5793,92.4635,40.2526,127.222,26.5692,92.4635,127.222
73.6582,208.735,57.594,169.012,57.737,145.852,17.8557,9.31305,208.735
140.915,291.096,121.459,288.984,86.3909,153.394,18.152,9.40159,291.096
287.643,314.574,215.76,368.632,98.2282,174.512,15.8273,10.412,368.632
514.995,341.543,438.475,380.45,130.131,186.941,15.8188,10.7289,514.995
770.625,337.309,603.451,374.825,151.508,190.031,15.0393,10.7426,770.625
1008.229277,343.674,1066.679104,384.615,164.732,192.357,14.4916,10.7402,1066.679104
1261.498165,346.49,1184.160974,386.648,168.282,190.079,14.1996,10.7422,1261.498165
21.0394,142.3,26.2079,119.187,21.0536,142.625,26.2042,119.187,142.625
50.9389,264.3,51.2669,217.713,44.4793,162.717,12.0504,9.46004,264.3
110.17,426.251,91.5704,401.124,78.4095,178.767,13.0223,10.7733,426.251
223.099,593.104,172.963,479.96,99.3954,185.271,12.1162,10.7841,593.104
442.374,686.537,384.042,459.694,91.3748,189.086,11.3563,10.7923,686.537
786.443,589.02,629.055,413.192,89.5304,191.083,10.0967,10.7943,786.443
1033.723939,588.383,1289.886333,438.969,80.6978,191.892,9.42966,10.7951,1289.886333
1365.519776,595.848,1361.483468,443.102,76.0503,192.426,9.11367,10.7953,1365.519776
42.3181,122.331,27.6859,90.1207,42.291,122.331,27.6511,89.9979,122.331
77.2162,221.673,60.8834,165.353,61.1087,147.288,20.7242,9.28962,221.673
136.626,287.211,115.74,282.603,84.609,153.179,20.1721,9.38264,287.211
283.817,300.779,186.146,362.71,100.032,169.925,16.7189,10.2663,362.71
496.68,328.343,396.004,378.559,132.814,181.417,17.0948,10.7046,496.68
755.224,327.022,587.676,372.357,152.582,184.039,16.4086,10.7185,755.224
954.828883,333.866,1043.43644,381.049,165.768,185.81,15.8661,10.7183,1043.43644
1189.196957,336.323,1159.199011,380.398,173.006,186.458,15.5926,10.7198,1189.196957
21.1263,137.475,28.0821,116.256,21.0625,137.711,28.1165,116.256,137.711
51.462,252.451,60.0872,215.058,43.4954,159.002,14.0601,9.43917,252.451
110.643,412.689,109.045,385.656,72.9655,173.864,14.9351,10.3373,412.689
230.176,544.302,198.925,477.657,95.6381,182.181,13.7509,10.775,544.302
428.535,626.844,408.096,460.601,96.4539,185.633,12.5466,10.7848,626.844
775.506,552.384,635.063,419.535,97.2966,187.586,10.9877,10.7859,775.506
1022.298137,552.681,1288.698574,435.312,89.4742,188.575,10.1493,10.7863,1288.698574
1326.834225,558.012,1340.562887,437.417,85.2906,189.038,9.77195,10.7859,1340.562887
26.8262,115.229,8.18197,119.42,26.1917,120.834,8.16852,121.926,121.926
119.647,229.408,16.2073,210.718,27.9006,126.863,8.23515,10.546,229.408
449.665,356.653,40.2608,358.175,28.1192,128.766,8.24346,10.5637,449.665
702.034,365.543,257.137,399.161,28.1192,129.756,8.22564,10.5624,702.034
889.663,367.634,513.052,393.75,28.5189,129.486,8.19651,10.5653,889.663
1067.63,355.928,687.182,351.701,28.5361,130.272,8.18589,10.5629,1067.63
